GameID,Titles,YearReleased,Ranking,min_players,max_players,NumRatings,AvgRating,weighted_avg,#_of_awards,ExpansionFlag,#_of_expansion_sets,LicensedType,ClassicFlag,Category,boardgame_category
14893,Pirates of the Caribbean Buccaneer,2006,14893,2,4,76,5.3855,5.9009,0,N,0,Movie_IP,Modern,Board,"['Exploration', 'Fantasy', 'Movies / TV / Radio theme', 'Pirates']"
14894,Meins!,2012,14894,2,4,69,5.3884,5.9234,0,N,0,Original,Modern,Card,"['Card Game', 'Humor']"
14895,Doom and Bloom SURVIVAL!,2014,14895,2,4,30,5.4167,6.0905,0,N,0,Original,Modern,Dice,"['Abstract Strategy', 'Adventure', 'Dice', 'Exploration', 'Fighting']"
14896,Fish Fish,2013,14896,2,8,60,5.4892,5.9913,0,N,0,Original,Modern,Card,"['Animals', 'Bluffing', 'Card Game', 'Childrens Game', 'Party Game']"
14897,Scene It? Disney Second Edition,2007,14897,2,12,128,5.6055,5.9068,0,N,0,Movie_IP,Modern,Dice,"['Dice', 'Movies / TV / Radio theme', 'Party Game', 'Trivia']"
14898,Unita,2014,14898,2,4,113,5.5910,5.9204,0,N,0,Original,Modern,Dice,"['Abstract Strategy', 'Dice', 'Fantasy', 'Fighting', 'Wargame']"
14899,Let's Do Lunch!,2000,14899,2,2,61,5.3735,5.9444,0,N,0,Original,Modern,Dice,"['Abstract Strategy', 'Dice', 'Prehistoric']"
14900,Bop-It Extreme,1998,14900,1,0,37,5.4162,6.0559,0,N,0,Original,Modern,Board,"['Action / Dexterity', 'Electronic']"
14901,Captain Treasure Boots,2005,14901,2,6,114,5.5202,5.8811,0,N,0,Original,Modern,Board,"['Exploration', 'Pirates', 'Print & Play']"
14902,Clontarf,1993,14902,2,2,70,5.4600,5.9498,0,N,0,Original,Modern,Board,"['Medieval', 'Wargame']"
14903,Snakelake,2006,14903,3,6,102,5.5000,5.8924,0,N,0,Original,Modern,Card,['Card Game']
14904,Frontier  The Card Game,2017,14904,1,4,31,8.8710,6.9027,0,Y,1,Original,Modern,Board,['American West']
14905,Hepta,1974,14905,1,2,42,5.3167,6.0039,0,N,0,Original,Modern,Board,"['Abstract Strategy', 'Puzzle']"
14906,Maskenball Venezia,1999,14906,5,12,69,5.4797,5.9607,0,N,0,Original,Modern,Card,['Card Game']
14907,Zombies,2017,14907,2,5,48,5.3688,5.9930,0,N,0,Original,Modern,Board,"['Exploration', 'Real-time', 'Zombies']"
14908,Ace of Spies,2012,14908,2,5,83,5.5723,5.9659,0,N,0,Original,Modern,Card,"['Card Game', 'Spies/Secret Agents']"
14909,Treasure Hunt,1989,14909,2,2,38,5.3079,6.0214,0,N,0,Original,Modern,Board,"['Adventure', 'Novel-based', 'Pirates']"
14910,Chaos Marauders (second edition),2009,14910,2,4,797,5.5248,5.6104,0,N,0,Original,Modern,Card,"['Card Game', 'Fighting']"
14911,Scattergories  Bible Edition,2000,14911,2,4,54,5.2611,5.9309,0,N,0,Original,Classic,Board,"['Party Game', 'Religious', 'Word Game']"
14912,X Marks the Spot,2011,14912,2,4,42,5.4548,6.0448,0,N,0,Original,Modern,Board,['Pirates']
14913,Zimbbos!,2004,14913,1,4,95,5.4663,5.8901,0,N,0,Original,Modern,Board,"['Action / Dexterity', 'Animals', 'Childrens Game', 'Puzzle']"
14914,Za Dan,2009,14914,5,8,36,5.3889,6.0534,0,N,0,Original,Modern,Board,"['Bluffing', 'Deduction', 'Party Game']"
14915,Monopoly  The Beatles Collector's Edition,2008,14915,2,6,73,5.3348,5.8884,0,N,0,Original,Classic,Board,"['Economic', 'Music', 'Negotiation']"
14916,Schraumen,1992,14916,3,8,87,5.4345,5.8934,2,N,0,Original,Modern,Card,['Card Game']
14917,Equate,1996,14917,2,4,99,5.5227,5.9096,0,Y,2,Original,Modern,Board,['Math']
14918,Smear,1999,14918,2,6,52,5.3547,5.9717,0,N,0,Original,Modern,Card,"['Abstract Strategy', 'Card Game']"
14919,Oskar,1994,14919,3,6,31,5.2597,6.0482,1,N,0,Original,Modern,Card,['Card Game']
14920,The Italian Campaign  Sicily,1991,14920,2,2,88,5.5597,5.9495,0,Y,1,Original,Modern,Board,"['Wargame', 'World War II']"
14921,Valiant Universe  The Deckbuilding Game,2016,14921,2,5,44,5.5682,6.0712,0,N,0,Original,Modern,Card,"['Card Game', 'Comic Book / Strip', 'Miniatures']"
14922,Harry Potter Halls of Hogwarts,2002,14922,2,4,42,5.5119,6.0617,0,N,0,Movie_IP,Modern,Board,"['Childrens Game', 'Fantasy', 'Maze', 'Movies / TV / Radio theme', 'Novel-based']"
14923,Die grosse Auktion,1959,14923,3,8,37,5.4054,6.0530,0,N,0,Original,Modern,Card,"['Card Game', 'Economic', 'Negotiation']"
14924,Bombs Away,1995,14924,2,2,34,5.2794,6.0355,0,N,0,Original,Modern,Card,"['Card Game', 'Wargame', 'World War II']"
14925,Auf die Birne,2011,14925,2,5,30,5.2500,6.0520,0,N,0,Original,Modern,Board,"['Childrens Game', 'Memory', 'Number']"
14926,Medicine Whoops,2015,14926,2,4,31,5.5484,6.1165,0,N,0,Original,Modern,Board,['Medical']
14927,Perfidious Albion  Napoleon's (Hypothetical) Invasion of England,1997,14927,2,2,32,5.6563,6.1383,0,N,0,Original,Modern,Board,"['Napoleonic', 'Wargame']"
14928,Die Kette von Saba,1984,14928,3,7,83,5.4121,5.8932,0,N,0,Original,Modern,Board,['Economic']
14929,Ruse,2014,14929,3,5,153,5.6297,5.8917,0,N,0,Original,Modern,Card,"['Card Game', 'Humor', 'Memory', 'Murder/Mystery', 'Science Fiction']"
14930,Split Decision,2010,14930,2,8,43,5.3233,6.0011,0,N,0,Original,Modern,Board,['Trivia']
14931,Tower Siege,2000,14931,2,2,45,5.3200,5.9908,0,Y,3,Original,Modern,Card+Dice,"['Card Game', 'Dice', 'Fantasy', 'Fighting']"
14932,Chaos Tiles,1999,14932,1,5,42,5.2595,5.9870,0,N,0,Original,Modern,Board,"['Abstract Strategy', 'Puzzle']"
14933,The Origin of Expressions,2007,14933,3,99,77,5.4584,5.9297,0,N,0,Original,Modern,Board,"['Bluffing', 'Party Game', 'Trivia']"
14934,Speculation,2003,14934,3,5,53,5.4406,5.9975,1,N,0,Original,Modern,Board,['Economic']
14935,Ballast,1998,14935,2,4,39,5.2282,5.9940,0,N,0,Original,Modern,Board,['Action / Dexterity']
14936,Jungli-La,2016,14936,2,5,59,5.3686,5.9497,0,N,0,Original,Modern,Dice,"['Dice', 'Exploration']"
14937,Paparazzi,2006,14937,2,8,33,5.2673,6.0382,0,N,0,Original,Modern,Board,['Party Game']
14938,Robotics,2007,14938,3,5,175,5.4800,5.7755,0,Y,1,Original,Modern,Board,"['Industry / Manufacturing', 'Science Fiction']"
14939,Crash by Crash,2008,14939,2,4,51,5.4157,5.9964,0,N,0,Original,Modern,Board,['Racing']
14940,Mini Chuck-it Chicken!,2007,14940,2,4,63,5.3905,5.9439,0,N,0,Original,Modern,Dice,"['Action / Dexterity', 'Animals', 'Childrens Game', 'Dice', 'Farming']"
